levantamento;genero;idade;peso;carga;nivel
supino;f;32;66.1;34;iniciante
supino;m;35;86.9;74;iniciante
supino;f;43;62.6;56;avancado
agachamento;m;28;81.7;193;avancado
supino;m;28;80.1;72;iniciante
agachamento;m;25;78.7;121;intermediario
supino;f;39;63.4;56;intermediario
agachamento;f;26;66.2;60;iniciante
deadlift;f;26;67.8;125;avancado
deadlift;f;28;65.8;132;avancado
agachamento;f;44;62.1;89;avancado
agachamento;f;35;64.2;85;intermediario
agachamento;m;31;83.9;203;avancado
agachamento;f;34;63.9;102;avancado
agachamento;f;36;64.7;55;iniciante
agachamento;m;33;86.3;142;intermediario
supino;m;40;91.7;130;intermediario
supino;f;22;70.9;40;iniciante
supino;m;23;76.5;65;iniciante
agachamento;m;37;89.6;212;avancado
supino;m;32;85.1;123;intermediario
supino;m;31;78.5;64;iniciante
supino;f;23;69.9;64;avancado
supino;f;41;63.3;59;avancado
supino;m;43;93.3;146;avancado
agachamento;f;38;63.3;51;iniciante
supino;m;37;88.5;128;avancado
supino;m;41;92.0;131;intermediario
deadlift;f;39;62.4;60;iniciante
deadlift;f;31;67.3;110;intermediario
deadlift;f;23;70.3;131;avancado
deadlift;m;23;76.6;165;avancado
agachamento;m;21;74.5;177;avancado
supino;f;27;68.1;36;iniciante
deadlift;m;36;88.3;154;intermediario
deadlift;m;37;88.6;209;avancado
deadlift;m;35;87.2;154;intermediario
deadlift;m;39;90.7;133;iniciante
supino;m;33;84.9;134;avancado
agachamento;m;38;90.5;151;intermediario
deadlift;m;43;92.1;224;avancado
supino;f;48;61.9;35;intermediario
agachamento;f;30;65.4;59;iniciante
deadlift;m;42;91.9;219;avancado
deadlift;f;24;69.3;110;intermediario
agachamento;m;41;93.1;98;iniciante
supino;m;34;86.1;73;iniciante
supino;m;28;81.9;107;intermediario
deadlift;f;38;63.4;100;intermediario
supino;f;33;65.7;58;intermediario
deadlift;m;30;83.2;128;iniciante
agachamento;m;39;93.2;143;intermediario
deadlift;m;21;74.4;115;iniciante
deadlift;f;24;69.2;136;avancado
deadlift;m;25;78.4;107;iniciante
supino;m;27;80.7;109;intermediario
deadlift;m;26;79.6;139;intermediario
supino;m;42;89.2;142;avancado
agachamento;m;30;83.0;196;avancado
agachamento;f;43;62.9;94;avancado
agachamento;m;32;84.8;137;intermediario
agachamento;m;43;94.8;198;avancado
agachamento;m;29;81.5;124;intermediario
supino;m;26;79.3;102;intermediario
supino;f;40;63.1;33;iniciante
supino;m;30;83.8;113;intermediario
agachamento;f;27;67.1;60;iniciante
agachamento;f;38;62.8;48;iniciante
supino;f;21;72.0;68;avancado
deadlift;f;43;62.2;119;avancado
deadlift;m;40;91.0;160;intermediario
deadlift;f;21;73.8;117;intermediario
supino;m;21;74.1;63;iniciante
deadlift;m;39;90.6;123;iniciante
deadlift;m;38;89.5;158;intermediario
deadlift;m;33;85.2;143;intermediario
supino;m;31;85.6;134;avancado
agachamento;f;40;63.6;57;iniciante
agachamento;m;40;91.6;225;avancado
deadlift;m;22;75.3;130;intermediario
agachamento;m;25;82.2;203;avancado
deadlift;m;32;84.3;115;iniciante
deadlift;f;29;67.5;64;iniciante
supino;f;23;70.0;38;iniciante
supino;m;36;87.3;129;avancado
agachamento;f;22;71.2;66;iniciante
deadlift;m;26;79.7;115;iniciante
supino;m;35;87.0;126;avancado
deadlift;m;28;81.8;111;iniciante
deadlift;f;40;62.9;99;intermediario
deadlift;m;29;83.0;193;avancado
agachamento;m;23;76.7;126;intermediario
agachamento;f;41;63.5;91;avancado
deadlift;m;22;75.2;125;intermediario
agachamento;f;31;66.1;73;intermediario
supino;f;37;64.1;54;intermediario
agachamento;f;37;64.0;95;avancado
deadlift;m;36;83.8;119;iniciante
deadlift;m;45;87.9;210;avancado
deadlift;m;38;89.5;121;iniciante
supino;f;24;69.8;66;avancado
deadlift;m;30;83.1;193;avancado
agachamento;m;34;87.1;143;intermediario
supino;m;34;86.0;124;intermediario
agachamento;f;29;66.5;53;iniciante
supino;m;41;88.1;79;iniciante
deadlift;f;35;65.0;124;avancado
deadlift;m;44;93.4;229;avancado
deadlift;m;24;77.5;135;intermediario
agachamento;m;27;80.5;72;iniciante
deadlift;m;38;87.1;211;avancado
agachamento;f;21;68.3;61;iniciante
agachamento;m;20;75.0;178;avancado
supino;m;45;97.4;88;iniciante
deadlift;m;24;79.7;136;intermediario
supino;m;31;85.5;125;intermediario
supino;f;33;65.5;56;intermediario
agachamento;f;42;61.1;52;iniciante
agachamento;m;27;82.8;139;intermediario
supino;m;26;80.7;124;avancado
deadlift;f;37;66.4;105;intermediario
agachamento;f;31;65.3;90;intermediario
agachamento;f;29;68.9;109;avancado
deadlift;m;33;83.9;126;iniciante
supino;f;41;63.2;34;iniciante
supino;f;27;70.3;66;avancado
deadlift;f;26;69.1;64;iniciante
deadlift;m;30;82.5;183;intermediario
deadlift;m;41;89.2;139;iniciante
supino;f;22;71.2;40;iniciante
agachamento;m;39;90.0;121;iniciante
deadlift;f;44;61.3;98;intermediario
deadlift;f;20;72.1;121;avancado
agachamento;m;33;86.7;209;avancado
supino;f;35;65.6;54;intermediario
agachamento;m;24;80.2;124;intermediario
supino;m;36;87.7;128;intermediario
deadlift;m;27;81.6;189;avancado
agachamento;f;26;67.8;63;iniciante
supino;f;46;60.1;51;avancado
supino;m;22;76.5;65;iniciante
deadlift;f;32;66.9;91;intermediario
agachamento;m;43;93.8;154;intermediario
agachamento;f;38;64.0;56;iniciante
deadlift;m;36;86.1;194;avancado
supino;f;29;69.4;58;intermediario
agachamento;f;24;69.2;79;iniciante
agachamento;m;30;83.7;108;iniciante
deadlift;f;28;67.3;114;avancado
supino;m;41;91.1;141;avancado
deadlift;m;22;77.2;118;iniciante
deadlift;m;33;84.1;148;intermediario
agachamento;f;34;64.6;89;intermediario
agachamento;m;27;81.4;182;avancado
supino;f;20;71.1;38;iniciante
supino;f;39;63.8;54;avancado
deadlift;f;35;65.8;61;iniciante
agachamento;m;36;87.8;144;intermediario
supino;m;30;84.6;79;iniciante
deadlift;m;44;92.6;219;avancado
supino;f;25;68.0;51;intermediario
agachamento;m;21;75.6;86;iniciante
deadlift;f;42;62.3;99;intermediario
supino;m;34;86.8;127;intermediario
agachamento;f;45;60.5;83;avancado
deadlift;f;23;70.0;65;iniciante
agachamento;f;32;66.2;56;iniciante
supino;m;28;82.4;124;avancado
deadlift;m;39;87.9;161;intermediario
agachamento;m;33;85.9;120;iniciante
supino;f;31;67.0;57;intermediario
deadlift;f;29;68.5;110;intermediario
supino;f;43;61.2;33;iniciante
deadlift;m;25;79.2;123;iniciante
agachamento;f;27;67.2;99;avancado
agachamento;m;46;96.6;160;intermediario
supino;m;38;89.1;136;avancado
agachamento;m;23;78.1;121;intermediario
deadlift;f;25;67.9;108;intermediario
agachamento;f;36;64.9;55;iniciante
deadlift;m;32;83.5;188;avancado
supino;m;24;78.8;74;iniciante
supino;f;28;69.7;60;intermediario
supino;f;40;62.9;54;avancado
agachamento;m;30;84.4;196;avancado
agachamento;f;22;70.1;66;iniciante
deadlift;f;31;66.4;63;iniciante
deadlift;m;42;89.8;167;intermediario
agachamento;f;41;62.1;85;avancado
deadlift;m;28;81.1;182;avancado
supino;f;36;65.9;36;iniciante
supino;m;33;86.2;117;intermediario
agachamento;m;25;80.1;92;iniciante
supino;m;44;94.3;146;avancado
agachamento;f;30;66.1;76;intermediario
deadlift;f;38;64.3;99;intermediario
agachamento;m;37;88.6;146;intermediario
deadlift;m;20;74.6;110;iniciante
agachamento;f;33;65.7;56;iniciante
deadlift;f;27;67.7;107;intermediario
deadlift;f;46;60.7;99;avancado
supino;m;21;75.8;64;iniciante
agachamento;m;41;91.6;151;intermediario
supino;f;24;68.6;50;intermediario
supino;f;38;64.2;34;iniciante
supino;m;32;85.6;124;intermediario
deadlift;m;35;86.2;124;iniciante
agachamento;m;28;82.2;188;avancado
deadlift;f;23;70.4;111;avancado
agachamento;f;20;71.4;67;iniciante
supino;m;27;81.3;70;iniciante
supino;f;32;66.5;56;intermediario
supino;m;40;90.1;138;avancado
agachamento;f;35;65.4;75;intermediario
deadlift;f;40;62.7;59;iniciante
deadlift;m;45;94.0;227;avancado
agachamento;f;28;67.6;63;iniciante
supino;f;34;65.2;55;intermediario
agachamento;m;31;84.9;123;iniciante
supino;m;23;77.8;114;intermediario
deadlift;f;33;66.0;104;intermediario
supino;f;44;60.9;52;avancado
deadlift;m;26;80.2;133;intermediario
agachamento;m;35;87.5;212;avancado
deadlift;f;21;69.6;66;iniciante
deadlift;m;30;83.2;121;iniciante
agachamento;f;39;63.5;87;avancado
supino;f;26;68.9;38;iniciante
supino;m;37;88.3;131;intermediario
agachamento;f;23;69.5;65;iniciante
supino;m;29;83.6;123;intermediario
deadlift;m;43;91.1;216;avancado
supino;f;21;70.6;61;intermediario
agachamento;m;26;81.0;127;intermediario
supino;m;35;87.2;78;iniciante
agachamento;f;25;67.5;93;avancado
supino;f;30;66.8;37;iniciante
supino;f;42;61.9;53;avancado
deadlift;f;34;64.9;94;intermediario
agachamento;m;22;77.0;88;iniciante
agachamento;f;37;64.5;74;intermediario
supino;m;42;92.2;140;avancado
deadlift;m;29;82.0;187;avancado
supino;f;33;65.3;35;iniciante
deadlift;m;34;85.2;156;intermediario
agachamento;m;24;79.4;124;intermediario
deadlift;f;22;70.2;114;avancado
supino;m;20;74.8;64;iniciante
deadlift;f;36;65.7;62;iniciante
agachamento;f;44;61.0;52;iniciante
supino;f;28;69.0;59;intermediario
supino;m;39;89.6;130;intermediario
agachamento;m;32;85.3;196;avancado
deadlift;f;30;66.7;106;intermediario
agachamento;m;20;74.7;84;iniciante
supino;m;25;79.9;121;avancado
supino;f;37;64.8;55;intermediario
deadlift;m;40;88.5;136;iniciante
supino;f;23;69.7;39;iniciante
agachamento;f;31;65.2;89;intermediario
deadlift;f;43;61.8;100;avancado
deadlift;m;23;78.3;178;avancado
supino;m;31;85.0;76;iniciante
deadlift;f;27;67.5;64;iniciante
agachamento;f;26;68.1;64;iniciante
deadlift;f;39;63.7;98;intermediario
supino;f;32;66.3;57;intermediario
deadlift;m;27;81.3;135;intermediario
supino;m;43;92.9;142;avancado
agachamento;m;29;83.3;120;iniciante
supino;f;25;67.8;38;iniciante
deadlift;m;37;87.4;198;avancado
supino;f;45;60.5;52;avancado
deadlift;m;31;84.3;152;intermediario
agachamento;f;24;69.3;65;iniciante
agachamento;m;21;76.0;118;intermediario
agachamento;f;40;62.6;86;avancado
deadlift;f;32;66.8;94;intermediario
supino;f;35;65.5;35;iniciante
supino;m;28;82.1;78;iniciante
supino;m;36;87.4;127;intermediario
agachamento;m;34;86.4;205;avancado
deadlift;f;28;67.2;63;iniciante
agachamento;m;42;92.5;152;intermediario
supino;f;22;71.3;62;intermediario
agachamento;f;34;64.7;74;intermediario
deadlift;m;24;79.1;123;iniciante
supino;f;41;62.8;54;avancado
agachamento;f;29;68.8;110;avancado
supino;m;26;80.5;123;avancado
deadlift;m;39;88.3;213;avancado
supino;m;33;85.9;120;intermediario
deadlift;f;35;65.6;102;intermediario
agachamento;m;27;82.3;138;intermediario
supino;f;30;66.9;37;iniciante
agachamento;f;21;69.1;65;iniciante
deadlift;f;24;68.7;64;iniciante
agachamento;f;33;65.8;75;intermediario
supino;m;46;95.8;86;iniciante
deadlift;m;21;76.2;176;avancado
supino;f;39;63.6;34;iniciante
supino;f;27;70.1;60;intermediario
agachamento;m;38;89.3;221;avancado
deadlift;f;45;61.1;99;avancado
